"Ordered","Reversed","Middle Random","All Random","Total"
387,164,169,201,921
178,276,152,173,779
239,133,102,213,687
53,124,86,242,505
110,313,120,74,617
67,248,56,100,471
116,316,68,99,599
76,122,67,290,555
59,136,102,176,473
121,130,181,60,492
86,246,58,84,474
124,292,170,70,656
134,133,197,93,557
90,275,88,80,533
178,138,85,72,473
184,126,88,93,491
163,136,100,97,496
92,264,90,83,529
208,125,101,73,507
197,147,91,176,611
93,213,94,109,509
120,246,93,189,648
99,289,110,204,702
74,190,135,82,481
66,298,128,63,555
77,319,67,59,522
199,163,95,88,545
66,207,94,74,441
79,175,110,87,451
166,141,68,76,451
155,153,126,150,584
127,100,78,76,381
192,119,199,74,584
161,141,157,103,562
79,217,92,78,466
196,114,80,159,549
160,156,110,197,623
116,171,83,119,489
401,92,205,94,792
68,262,116,229,675
76,276,131,140,623
151,154,456,145,906
74,226,197,94,591
61,366,138,73,638
309,92,73,131,605
229,131,133,198,691
110,287,62,224,683
132,264,109,86,591
110,123,196,83,512
78,193,211,94,576
184,144,154,127,609
74,121,218,127,540
231,99,124,160,614
63,157,204,155,579
57,207,245,122,631
191,171,178,67,607
124,281,76,84,565
132,307,115,141,695
218,251,62,258,789
97,114,101,360,672
56,232,66,302,656
64,314,67,170,615
74,155,110,170,509
123,183,144,63,513
76,291,70,194,631
100,288,138,184,710
205,89,232,257,783
99,156,187,192,634
162,99,145,177,583
58,204,91,293,646
56,152,171,119,498
77,167,127,113,484
254,147,99,123,623
202,148,151,73,574
76,312,83,180,651
87,165,75,174,501
114,150,71,198,533
75,172,59,100,406
249,189,55,102,595
66,171,197,89,523
122,265,215,83,685
97,199,144,102,542
72,184,61,54,371
234,165,63,238,700
130,162,144,126,562
75,433,73,158,739
75,281,122,92,570
220,137,214,95,666
66,169,144,140,519
84,341,96,121,642
72,249,192,106,619
67,193,126,67,453
237,103,169,125,634
90,146,287,104,627
137,149,144,306,736
98,525,89,133,845
179,161,59,216,615
84,128,86,193,491
75,241,108,82,506
104,250,103,215,672
