"Insertion time","Successful retrieval time","Unsuccessful retrieval time","Total time"
186,70,52,308
66,71,47,184
44,37,68,149
117,42,46,205
41,35,36,112
36,39,39,114
41,36,37,114
37,33,36,106
42,36,37,115
38,37,34,109
37,33,39,109
39,37,36,112
37,33,35,105
36,35,38,109
41,37,34,112
36,33,35,104
37,37,35,109
39,33,35,107
37,32,35,104
38,38,38,114
43,37,38,118
41,35,37,113
40,38,37,115
40,39,38,117
40,38,39,117
40,37,40,117
41,38,38,117
39,36,41,116
40,37,40,117
36,36,44,116
45,39,38,122
40,33,35,108
40,37,38,115
38,41,35,114
37,35,37,109
42,39,36,117
37,33,35,105
35,38,36,109
39,36,37,112
35,34,36,105
38,39,38,115
37,33,35,105
36,33,36,105
38,37,40,115
40,34,40,114
37,36,38,111
42,37,41,120
38,36,36,110
38,41,40,119
42,35,40,117
41,35,34,110
43,35,36,114
46,37,37,120
36,36,37,109
39,37,38,114
42,38,40,120
39,40,42,121
39,36,35,110
35,35,36,106
39,36,39,114
37,34,35,106
36,37,40,113
40,37,35,112
35,34,33,102
38,37,42,117
41,33,35,109
36,34,35,105
39,37,35,111
36,34,34,104
36,34,36,106
41,37,38,116
39,36,43,118
42,37,45,124
41,37,36,114
40,38,38,116
40,38,38,116
39,38,34,111
36,38,39,113
44,36,38,118
40,35,34,109
42,38,37,117
39,37,37,113
36,34,38,108
39,37,37,113
43,35,34,112
37,37,40,114
43,41,72,156
40,34,38,112
41,39,96,176
44,38,38,120
41,40,41,122
38,33,35,106
36,37,38,111
40,35,39,114
39,36,38,113
40,42,38,120
46,40,43,129
40,43,40,123
40,37,36,113
44,44,43,131
42,39,39,120
41,36,40,117
36,38,38,112
43,37,37,117
39,34,34,107
40,38,37,115
40,37,34,111
36,33,36,105
42,38,38,118
38,34,34,106
37,36,36,109
42,36,37,115
36,35,33,104
39,38,37,114
39,35,37,111
35,34,34,103
40,37,35,112
36,33,35,104
36,34,36,106
40,39,39,118
40,37,40,117
38,39,39,116
43,35,44,122
42,36,42,120
40,39,37,116
41,35,36,112
42,37,36,115
41,37,37,115
40,37,35,112
40,42,41,123
40,38,35,113
42,35,39,116
42,39,36,117
38,33,34,105
40,37,39,116
38,37,36,111
36,33,35,104
37,35,37,109
40,37,35,112
37,33,39,109
41,38,36,115
36,39,39,114
42,37,38,117
39,36,40,115
36,34,34,104
39,39,39,117
39,40,38,117
47,37,35,119
39,36,38,113
42,39,38,119
41,35,38,114
40,37,39,116
39,38,36,113
39,38,39,116
42,37,37,116
38,38,37,113
42,35,35,112
37,33,35,105
39,38,38,115
38,37,38,113
35,33,35,103
