"Ordered","Reversed","Middle Random","All Random","Total"
1,76,0,35,112
0,64,0,9,73
0,18,0,11,29
0,22,0,9,31
0,19,0,9,28
0,21,0,9,30
0,20,0,11,31
0,23,1,8,32
0,18,0,9,27
1,18,0,19,38
0,62,0,28,90
0,30,0,9,39
0,28,0,13,41
0,23,0,12,35
0,22,0,12,34
0,23,0,12,35
0,25,0,12,37
0,23,0,11,34
0,24,0,12,36
0,23,0,12,35
0,23,0,12,35
0,26,0,12,38
0,25,1,11,37
0,23,0,12,35
0,25,0,11,36
0,23,0,12,35
0,26,0,12,38
0,22,1,11,34
0,25,0,13,38
0,24,0,11,35
0,23,0,12,35
0,27,0,12,39
0,24,0,14,38
0,28,1,14,43
0,28,0,14,42
0,29,0,14,43
0,24,0,11,35
0,24,0,12,36
0,24,0,12,36
0,24,0,15,39
0,24,0,13,37
0,24,0,12,36
0,22,0,11,33
0,23,0,11,34
0,24,0,14,38
0,24,0,12,36
0,23,0,13,36
0,23,0,15,38
0,27,0,16,43
0,32,0,14,46
0,38,0,15,53
0,28,0,12,40
0,25,0,12,37
0,24,0,12,36
0,27,0,12,39
0,25,0,12,37
0,24,0,12,36
0,27,0,12,39
0,26,0,13,39
0,117,0,30,147
0,26,0,16,42
0,26,0,12,38
0,27,0,12,39
0,25,0,12,37
0,24,0,15,39
0,25,0,13,38
0,34,0,34,68
0,38,0,18,56
0,23,0,12,35
0,28,0,14,42
0,26,0,12,38
0,25,0,13,38
0,30,0,15,45
0,28,0,13,41
0,29,0,13,42
0,24,0,13,37
0,25,0,11,36
0,25,0,11,36
0,25,0,13,38
0,24,0,14,38
0,25,0,12,37
0,26,0,12,38
0,26,0,14,40
0,26,0,13,39
1,28,0,14,43
0,25,0,13,38
0,32,0,15,47
0,23,0,14,37
0,26,0,13,39
0,24,0,11,35
0,26,0,13,39
0,25,0,12,37
0,28,0,18,46
0,36,0,12,48
0,24,0,34,58
0,45,0,15,60
0,33,0,23,56
0,160,0,12,172
0,71,0,21,92
0,36,0,15,51
